feature_index,word
1,great
2,good
3,one
4,use
5,these
6,like
7,product
8,well
9,up
10,out
11,works
12,love
13,no
14,more
15,than
16,what
17,price
18,time
19,only
20,easy
21,quality
22,do
23,about
24,work
25,used
26,much
27,dont
28,other
29,nice
30,after
31,bought
32,some
33,little
34,im
35,there
36,sound
37,am
38,buy
39,perfect
40,which
41,because
42,now
43,does
44,too
45,even
46,better
47,been
48,off
49,any
50,ive
51,using
52,by
53,first
54,guitar
55,did
56,new
57,made
58,need
59,back
60,recommend
61,over
62,how
63,still
64,fit
65,best
66,amazon
67,two
68,make
69,then
70,again
71,way
72,worked
73,our
74,small
75,kindle
76,years
77,into
78,water
79,right
80,old
81,put
82,go
83,didnt
84,long
85,set
86,thing
87,doesnt
88,needed
89,case
90,want
91,find
92,cant
93,few
94,excellent
95,without
96,far
97,before
98,size
99,lot
100,came
