word,importance
great,0.10907670126398888
one,0.10299818750004644
two,0.07519732564458545
love,0.050495950003839066
perfect,0.03183040852636554
easy,0.031188897476058474
dont,0.029314217891572535
good,0.028542053065713217
after,0.02784248752610784
best,0.02649392226309237
works,0.02600980326599672
didnt,0.0249414709050231
work,0.024336709080770805
doesnt,0.02362064074625052
did,0.021152183713669448
well,0.020293753732138493
nice,0.019015691728884065
excellent,0.01656780735297898
buy,0.016187005253673566
off,0.015685952371924213
even,0.014958549206613046
do,0.01296837610772999
price,0.012460022357908109
back,0.01210013649387296
too,0.011529852777724805
little,0.009832433318176745
no,0.00817953303002039
out,0.0077116328503339954
only,0.00727882658135076
does,0.007255412367368671
like,0.006960934183748823
these,0.006760995570144171
then,0.006559094665939005
more,0.006196429916391315
need,0.006064662733178606
needed,0.0058613283429360535
product,0.0051835640537600805
than,0.004851916179701546
use,0.004656074881406772
years,0.004242954671817181
there,0.004126148593610612
worked,0.004073816622602412
first,0.003986905633131485
up,0.003823177435695966
bought,0.0037842801925637368
fit,0.003782616837588355
far,0.0037701062825005395
much,0.0037379453103433677
better,0.0037305246342158043
some,0.0037100843651228384
because,0.0035528961935537024
amazon,0.0033001584997632083
old,0.003246492776118113
what,0.003197941503333611
our,0.003180120635531585
about,0.0029777146723911976
way,0.0026462441023184136
used,0.002494679073868402
other,0.0024442766584902662
now,0.002392661257887659
ive,0.0023867580838494587
quality,0.0022041704036750024
again,0.0020629484106929287
made,0.0020447812961682976
which,0.0020300822996017574
recommend,0.0019913474131217465
small,0.001965632364514776
cant,0.0019394769288877413
am,0.0017595994590930278
time,0.001648262059332967
using,0.0016310396106929477
been,0.0016259130208114332
new,0.0015277780461804664
before,0.001483584310844561
im,0.001449840262277478
by,0.001446457201568761
over,0.0014070689312814797
without,0.0013835912154676001
lot,0.0011994769161041338
how,0.001106984937778674
find,0.0010377740586784924
came,0.0009988937339284287
thing,0.0009689947196426334
long,0.0009653756612641859
want,0.0009185613843091977
any,0.0009130620393788096
kindle,0.0008920306721854605
go,0.0008547248106791325
still,0.0008421335394953396
guitar,0.0008310238606321592
make,0.0008092881594628317
sound,0.0007551690311421566
size,0.0007513329159115046
few,0.0007291300335654337
into,0.0006827926998927086
put,0.0006611696782065237
water,0.0006437632199496238
right,0.0005384253892336632
set,0.0003519140996784897
case,0.00019695623738383376
